uj,t,value
1,1,560.4050000000001
2,1,0.0
3,1,0.0
4,1,0.0
5,1,219.26
6,1,747.6752428551263
7,1,21392.719400004877
8,1,0.0
9,1,323.28499999999997
10,1,124.02928572
1,2,5195.1612818765925
2,2,9706.299997999999
3,2,7672.797124058154
4,2,0.0
5,2,0.0
6,2,17398.866666
7,2,7352.121209201876
8,2,22089.866665199996
9,2,0.0
10,2,21275.586340563368
1,3,23175.152108846836
2,3,9706.299997999999
3,3,0.0
4,3,0.0
5,3,2348.850625000021
6,3,53842.26092758976
7,3,0.0
8,3,82919.59999999999
9,3,106266.70000000001
10,3,21275.586340563368
1,4,3260.7
2,4,0.0
3,4,0.0
4,4,0.0
5,4,5508.2
6,4,3231.017499999998
7,4,0.0
8,4,0.0
9,4,11218.1
10,4,8297.569999999996
