uj,t,value
1,1,560.4050000000001
2,1,2266.7
3,1,4279.959549733883
4,1,0.0
5,1,219.26
6,1,1216.0
7,1,14377.735093126119
8,1,0.0
9,1,323.28499999999997
10,1,124.02928572
1,2,4083.4025307095962
2,2,9706.299997999999
3,2,10512.5
4,2,4302.83663606042
5,2,0.0
6,2,9999.830057230905
7,2,15723.9083326
8,2,22089.866665199996
9,2,0.0
10,2,14272.055065099088
1,3,29953.445
2,3,29896.4
3,3,30971.200000000004
4,3,0.0
5,3,17558.79616682942
6,3,39679.9548931373
7,3,2472.0738331705584
8,3,42735.88010686271
9,3,106266.70000000001
10,3,0.0
1,4,3260.7
2,4,3070.6000000000004
3,4,1209.4689425032257
4,4,0.0
5,4,5508.2
6,4,3151.5587499999997
7,4,766.2435574967628
8,4,0.0
9,4,11218.1
10,4,3330.7162500000068
