i,j,l,t,value
1,1,1,1,0.0
2,1,1,1,0.0
3,1,1,1,0.0
4,1,1,1,183.1785065
5,1,1,1,0.0
6,1,1,1,0.0
7,1,1,1,0.0
8,1,1,1,0.0
9,1,1,1,0.0
1,2,1,1,3330.7
2,2,1,1,0.0
3,2,1,1,0.0
4,2,1,1,0.0
5,2,1,1,0.0
6,2,1,1,0.0
7,2,1,1,0.0
8,2,1,1,0.0
9,2,1,1,0.0
1,3,1,1,0.0
2,3,1,1,0.0
3,3,1,1,0.0
4,3,1,1,1216.0
5,3,1,1,0.0
6,3,1,1,0.0
7,3,1,1,0.0
8,3,1,1,0.0
9,3,1,1,0.0
1,4,1,1,0.0
2,4,1,1,0.0
3,4,1,1,0.0
4,4,1,1,560.4050000000001
5,4,1,1,0.0
6,4,1,1,0.0
7,4,1,1,0.0
8,4,1,1,0.0
9,4,1,1,0.0
1,5,1,1,0.0
2,5,1,1,230.09
3,5,1,1,0.0
4,5,1,1,0.0
5,5,1,1,0.0
6,5,1,1,0.0
7,5,1,1,0.0
8,5,1,1,0.0
9,5,1,1,0.0
1,6,1,1,0.0
2,6,1,1,0.0
3,6,1,1,0.0
4,6,1,1,4062.5763657379935
5,6,1,1,0.0
6,6,1,1,0.0
7,6,1,1,0.0
8,6,1,1,0.0
9,6,1,1,0.0
1,7,1,1,0.0
2,7,1,1,0.0
3,7,1,1,0.0
4,7,1,1,0.0
5,7,1,1,0.0
6,7,1,1,0.0
7,7,1,1,0.0
8,7,1,1,0.0
9,7,1,1,0.0
1,8,1,1,0.0
2,8,1,1,0.0
3,8,1,1,0.0
4,8,1,1,0.0
5,8,1,1,0.0
6,8,1,1,0.0
7,8,1,1,0.0
8,8,1,1,0.0
9,8,1,1,0.0
1,9,1,1,0.0
2,9,1,1,181.72636364
3,9,1,1,0.0
4,9,1,1,0.0
5,9,1,1,0.0
6,9,1,1,0.0
7,9,1,1,0.0
8,9,1,1,0.0
9,9,1,1,0.0
1,10,1,1,0.0
2,10,1,1,0.0
3,10,1,1,0.0
4,10,1,1,791.6146428599999
5,10,1,1,0.0
6,10,1,1,0.0
7,10,1,1,0.0
8,10,1,1,0.0
9,10,1,1,0.0
1,11,1,1,13266.57878
2,11,1,1,1328.5394971220085
3,11,1,1,0.0
4,11,1,1,0.0
5,11,1,1,0.0
6,11,1,1,0.0
7,11,1,1,0.0
8,11,1,1,0.0
9,11,1,1,0.0
1,12,1,1,0.0
2,12,1,1,0.0
3,12,1,1,0.0
4,12,1,1,124.02928572
5,12,1,1,0.0
6,12,1,1,0.0
7,12,1,1,0.0
8,12,1,1,0.0
9,12,1,1,0.0
1,13,1,1,0.0
2,13,1,1,0.0
3,13,1,1,0.0
4,13,1,1,219.26
5,13,1,1,0.0
6,13,1,1,0.0
7,13,1,1,0.0
8,13,1,1,0.0
9,13,1,1,0.0
1,14,1,1,9945.075
2,14,1,1,0.0
3,14,1,1,0.0
4,14,1,1,0.0
5,14,1,1,0.0
6,14,1,1,0.0
7,14,1,1,0.0
8,14,1,1,0.0
9,14,1,1,0.0
1,15,1,1,0.0
2,15,1,1,228.64464286
3,15,1,1,0.0
4,15,1,1,0.0
5,15,1,1,0.0
6,15,1,1,0.0
7,15,1,1,0.0
8,15,1,1,0.0
9,15,1,1,0.0
1,16,1,1,0.0
2,16,1,1,0.0
3,16,1,1,0.0
4,16,1,1,122.40009741999998
5,16,1,1,0.0
6,16,1,1,0.0
7,16,1,1,0.0
8,16,1,1,0.0
9,16,1,1,0.0
1,17,1,1,0.0
2,17,1,1,0.0
3,17,1,1,0.0
4,17,1,1,2266.7
5,17,1,1,0.0
6,17,1,1,0.0
7,17,1,1,0.0
8,17,1,1,0.0
9,17,1,1,0.0
1,18,1,1,0.0
2,18,1,1,0.0
3,18,1,1,0.0
4,18,1,1,97.99681819999998
5,18,1,1,0.0
6,18,1,1,0.0
7,18,1,1,0.0
8,18,1,1,0.0
9,18,1,1,0.0
1,19,1,1,0.0
2,19,1,1,0.0
3,19,1,1,0.0
4,19,1,1,323.28499999999997
5,19,1,1,0.0
6,19,1,1,0.0
7,19,1,1,0.0
8,19,1,1,0.0
9,19,1,1,0.0
1,20,1,1,2035.375
2,20,1,1,0.0
3,20,1,1,0.0
4,20,1,1,0.0
5,20,1,1,0.0
6,20,1,1,0.0
7,20,1,1,0.0
8,20,1,1,0.0
9,20,1,1,0.0
1,1,2,1,0.0
2,1,2,1,0.0
3,1,2,1,0.0
4,1,2,1,0.0
5,1,2,1,0.0
6,1,2,1,0.0
7,1,2,1,0.0
8,1,2,1,0.0
9,1,2,1,0.0
1,2,2,1,0.0
2,2,2,1,0.0
3,2,2,1,0.0
4,2,2,1,0.0
5,2,2,1,0.0
6,2,2,1,0.0
7,2,2,1,0.0
8,2,2,1,0.0
9,2,2,1,0.0
1,3,2,1,0.0
2,3,2,1,0.0
3,3,2,1,0.0
4,3,2,1,0.0
5,3,2,1,0.0
6,3,2,1,0.0
7,3,2,1,0.0
8,3,2,1,0.0
9,3,2,1,0.0
1,4,2,1,0.0
2,4,2,1,0.0
3,4,2,1,0.0
4,4,2,1,0.0
5,4,2,1,0.0
6,4,2,1,0.0
7,4,2,1,0.0
8,4,2,1,0.0
9,4,2,1,0.0
1,5,2,1,0.0
2,5,2,1,0.0
3,5,2,1,0.0
4,5,2,1,0.0
5,5,2,1,0.0
6,5,2,1,0.0
7,5,2,1,0.0
8,5,2,1,0.0
9,5,2,1,0.0
1,6,2,1,0.0
2,6,2,1,0.0
3,6,2,1,0.0
4,6,2,1,0.0
5,6,2,1,0.0
6,6,2,1,0.0
7,6,2,1,0.0
8,6,2,1,0.0
9,6,2,1,0.0
1,7,2,1,0.0
2,7,2,1,0.0
3,7,2,1,0.0
4,7,2,1,0.0
5,7,2,1,0.0
6,7,2,1,0.0
7,7,2,1,0.0
8,7,2,1,0.0
9,7,2,1,0.0
1,8,2,1,0.0
2,8,2,1,0.0
3,8,2,1,0.0
4,8,2,1,0.0
5,8,2,1,0.0
6,8,2,1,0.0
7,8,2,1,0.0
8,8,2,1,0.0
9,8,2,1,0.0
1,9,2,1,0.0
2,9,2,1,0.0
3,9,2,1,0.0
4,9,2,1,0.0
5,9,2,1,0.0
6,9,2,1,0.0
7,9,2,1,0.0
8,9,2,1,0.0
9,9,2,1,0.0
1,10,2,1,0.0
2,10,2,1,0.0
3,10,2,1,0.0
4,10,2,1,0.0
5,10,2,1,0.0
6,10,2,1,0.0
7,10,2,1,0.0
8,10,2,1,0.0
9,10,2,1,0.0
1,11,2,1,0.0
2,11,2,1,0.0
3,11,2,1,0.0
4,11,2,1,0.0
5,11,2,1,0.0
6,11,2,1,0.0
7,11,2,1,0.0
8,11,2,1,0.0
9,11,2,1,0.0
1,12,2,1,0.0
2,12,2,1,0.0
3,12,2,1,0.0
4,12,2,1,0.0
5,12,2,1,0.0
6,12,2,1,0.0
7,12,2,1,0.0
8,12,2,1,0.0
9,12,2,1,0.0
1,13,2,1,0.0
2,13,2,1,0.0
3,13,2,1,0.0
4,13,2,1,0.0
5,13,2,1,0.0
6,13,2,1,0.0
7,13,2,1,0.0
8,13,2,1,0.0
9,13,2,1,0.0
1,14,2,1,0.0
2,14,2,1,0.0
3,14,2,1,0.0
4,14,2,1,0.0
5,14,2,1,0.0
6,14,2,1,0.0
7,14,2,1,0.0
8,14,2,1,0.0
9,14,2,1,0.0
1,15,2,1,0.0
2,15,2,1,0.0
3,15,2,1,0.0
4,15,2,1,0.0
5,15,2,1,0.0
6,15,2,1,0.0
7,15,2,1,0.0
8,15,2,1,0.0
9,15,2,1,0.0
1,16,2,1,0.0
2,16,2,1,0.0
3,16,2,1,0.0
4,16,2,1,0.0
5,16,2,1,0.0
6,16,2,1,0.0
7,16,2,1,0.0
8,16,2,1,0.0
9,16,2,1,0.0
1,17,2,1,0.0
2,17,2,1,0.0
3,17,2,1,0.0
4,17,2,1,0.0
5,17,2,1,0.0
6,17,2,1,0.0
7,17,2,1,0.0
8,17,2,1,0.0
9,17,2,1,0.0
1,18,2,1,0.0
2,18,2,1,0.0
3,18,2,1,0.0
4,18,2,1,0.0
5,18,2,1,0.0
6,18,2,1,0.0
7,18,2,1,0.0
8,18,2,1,0.0
9,18,2,1,0.0
1,19,2,1,0.0
2,19,2,1,0.0
3,19,2,1,0.0
4,19,2,1,0.0
5,19,2,1,0.0
6,19,2,1,0.0
7,19,2,1,0.0
8,19,2,1,0.0
9,19,2,1,0.0
1,20,2,1,0.0
2,20,2,1,0.0
3,20,2,1,0.0
4,20,2,1,0.0
5,20,2,1,0.0
6,20,2,1,0.0
7,20,2,1,0.0
8,20,2,1,0.0
9,20,2,1,0.0
1,1,3,1,0.0
2,1,3,1,0.0
3,1,3,1,0.0
4,1,3,1,0.0
5,1,3,1,0.0
6,1,3,1,0.0
7,1,3,1,0.0
8,1,3,1,0.0
9,1,3,1,0.0
1,2,3,1,0.0
2,2,3,1,0.0
3,2,3,1,0.0
4,2,3,1,0.0
5,2,3,1,0.0
6,2,3,1,0.0
7,2,3,1,0.0
8,2,3,1,0.0
9,2,3,1,0.0
1,3,3,1,0.0
