FI_spac,FI_temp,worst_case,nominal_case,large_modules,small_modules,worst_decision
0.0,0.0,98952.00072286227,91925.74796119473,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 4, l = 1, t = 1]: 1.00; Y[i = 4, l = 1, t = 2]: 1.00; Y[i = 4, l = 1, t = 3]: 1.00; Y[i = 4, l = 1, t = 4]: 1.00; Y[i = 5, l = 4, t = 3]: 1.00; Y[i = 7, l = 4, t = 2]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 1]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.1,99678.24712848122,91925.74796119476,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 4, l = 1, t = 1]: 1.00; Y[i = 4, l = 1, t = 2]: 1.00; Y[i = 4, l = 1, t = 3]: 1.00; Y[i = 4, l = 1, t = 4]: 1.00; Y[i = 5, l = 4, t = 3]: 1.00; Y[i = 7, l = 4, t = 2]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 1]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.2,100074.60392699737,91925.74796119476,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 4, l = 1, t = 1]: 1.00; Y[i = 4, l = 1, t = 2]: 1.00; Y[i = 4, l = 1, t = 3]: 1.00; Y[i = 4, l = 1, t = 4]: 1.00; Y[i = 5, l = 4, t = 3]: 1.00; Y[i = 7, l = 4, t = 2]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 1]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.3,100003.69917713838,91925.74796119476,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 4, l = 1, t = 1]: 1.00; Y[i = 4, l = 1, t = 2]: 1.00; Y[i = 4, l = 1, t = 3]: 1.00; Y[i = 4, l = 1, t = 4]: 1.00; Y[i = 5, l = 4, t = 3]: 1.00; Y[i = 7, l = 4, t = 2]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 1]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.4,100003.69917713838,91925.74796119476,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 4, l = 1, t = 1]: 1.00; Y[i = 4, l = 1, t = 2]: 1.00; Y[i = 4, l = 1, t = 3]: 1.00; Y[i = 4, l = 1, t = 4]: 1.00; Y[i = 5, l = 4, t = 3]: 1.00; Y[i = 7, l = 4, t = 2]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 1]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.5,100003.69917713838,91925.74796119476,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 4, l = 1, t = 1]: 1.00; Y[i = 4, l = 1, t = 2]: 1.00; Y[i = 4, l = 1, t = 3]: 1.00; Y[i = 4, l = 1, t = 4]: 1.00; Y[i = 5, l = 4, t = 3]: 1.00; Y[i = 7, l = 4, t = 2]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 1]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.6,100003.69917713838,91925.74796119476,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 4, l = 1, t = 1]: 1.00; Y[i = 4, l = 1, t = 2]: 1.00; Y[i = 4, l = 1, t = 3]: 1.00; Y[i = 4, l = 1, t = 4]: 1.00; Y[i = 5, l = 4, t = 3]: 1.00; Y[i = 7, l = 4, t = 2]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 1]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.7,100003.69917713838,91925.74796119476,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 4, l = 1, t = 1]: 1.00; Y[i = 4, l = 1, t = 2]: 1.00; Y[i = 4, l = 1, t = 3]: 1.00; Y[i = 4, l = 1, t = 4]: 1.00; Y[i = 5, l = 4, t = 3]: 1.00; Y[i = 7, l = 4, t = 2]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 1]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.8,100003.69917713838,91925.74796119476,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 4, l = 1, t = 1]: 1.00; Y[i = 4, l = 1, t = 2]: 1.00; Y[i = 4, l = 1, t = 3]: 1.00; Y[i = 4, l = 1, t = 4]: 1.00; Y[i = 5, l = 4, t = 3]: 1.00; Y[i = 7, l = 4, t = 2]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 1]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.9,100003.69917713838,91925.74796119476,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 4, l = 1, t = 1]: 1.00; Y[i = 4, l = 1, t = 2]: 1.00; Y[i = 4, l = 1, t = 3]: 1.00; Y[i = 4, l = 1, t = 4]: 1.00; Y[i = 5, l = 4, t = 3]: 1.00; Y[i = 7, l = 4, t = 2]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 1]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,1.0,100003.69917713838,91925.74796119476,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 4, l = 1, t = 1]: 1.00; Y[i = 4, l = 1, t = 2]: 1.00; Y[i = 4, l = 1, t = 3]: 1.00; Y[i = 4, l = 1, t = 4]: 1.00; Y[i = 5, l = 4, t = 3]: 1.00; Y[i = 7, l = 4, t = 2]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 1]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
