FI_spac,FI_temp,worst_case,nominal_case,large_modules,small_modules,worst_decision
0.0,0.0,96404.01515794141,91671.86197937359,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 2]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 2]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.1,96869.84897759608,91671.86197937359,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 2]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 2]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.2,96910.76159820345,91671.86197937359,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.3,96910.76159820348,91671.86197937359,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.4,96910.76159820343,91671.86197937359,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.5,96910.76159820348,91671.86197937359,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.6,96910.76159820348,91671.86197937359,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.7,96910.76159820346,91671.86197937359,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.8,96911.2164767737,91671.86197937359,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
0.0,0.9,96911.21647677371,91671.8619793736,3.0,3.0,"Y[i = 1, l = 1, t = 1]: 1.00; Y[i = 1, l = 1, t = 2]: 1.00; Y[i = 1, l = 1, t = 3]: 1.00; Y[i = 1, l = 1, t = 4]: 1.00; Y[i = 2, l = 1, t = 1]: 1.00; Y[i = 2, l = 1, t = 2]: 1.00; Y[i = 4, l = 4, t = 2]: 1.00; Y[i = 4, l = 4, t = 3]: 1.00; Y[i = 5, l = 1, t = 1]: 1.00; Y[i = 5, l = 1, t = 3]: 1.00; Y[i = 5, l = 1, t = 4]: 1.00; Y[i = 7, l = 4, t = 3]: 1.00; Y[i = 8, l = 4, t = 3]: 1.00; Y[i = 9, l = 1, t = 2]: 1.00; Y[i = 9, l = 1, t = 3]: 1.00; Y[i = 9, l = 1, t = 4]: 1.00; "
