uj,t,value
1,1,420.20659092001733
2,1,138.31105521
3,1,6341.724999962651
4,1,264.70855521
5,1,8480.175
6,1,9274.85
7,1,22.64454546
8,1,700.05623379
9,1,14570.095714297462
10,1,301.4023052100165
1,2,219.53113635000003
2,2,1057.304529225
3,2,2918.6593755
4,2,1802.1523433099974
5,2,5687.8249995
6,2,9165.5143755002
7,2,5634.2556057
8,2,16718.919816309808
9,2,45544.0833924
10,2,17959.129426974996
1,3,820.92
2,3,3354.0750000000003
3,3,993.7
4,3,8222.794999999951
5,3,4301.15
6,3,3883.6299999999997
7,3,63391.725000000006
8,3,23225.45
9,3,48096.9425
10,3,185805.56250000003
1,4,91.81500000001688
2,4,347.4
3,4,43.61562499999957
4,4,1929.45
5,4,399.85
6,4,248.31312499999854
7,4,6901.2
8,4,7509.337500000001
9,4,4996.641249999957
10,4,13252.377499999999
