uj,t,value
1,1,420.20659091999994
2,1,46.10368507
3,1,6433.932370110133
4,1,264.70855521
5,1,8480.175
6,1,9274.85
7,1,22.64454546
8,1,700.05623379
9,1,14570.095714289997
10,1,301.40230520999995
1,2,219.53113635000003
2,2,1057.304529225
3,2,2918.6593755
4,2,1802.15234331
5,2,5687.8249995
6,2,9165.51437550006
7,2,5634.2556057
8,2,16718.919816309957
9,2,45544.0833924
10,2,17959.12942697499
1,3,273.64
2,3,1118.025
3,3,993.7
4,3,11006.1250000008
5,3,4301.15
6,3,3883.6299999999997
7,3,63391.725000000006
8,3,23225.45
9,3,48096.94249999913
10,3,185805.56250000003
1,4,91.815
2,4,347.4
3,4,43.615624999999596
4,4,1929.45
5,4,399.85
6,4,248.3131249999982
7,4,6901.2
8,4,7509.337500000001
9,4,11670.50625000005
10,4,6578.5124999999425
