uj,t,value
1,1,560.4050000000001
2,1,0.0
3,1,0.0
4,1,0.0
5,1,219.26
6,1,0.0
7,1,22264.423928580003
8,1,0.0
9,1,323.28499999999997
10,1,0.0
1,2,0.0
2,2,8523.342264390307
3,2,10512.5
4,2,0.0
5,2,0.0
6,2,17398.866666
7,2,15723.9083326
8,2,22089.866665199996
9,2,0.0
10,2,16442.215356709694
1,3,30875.1
2,3,4709.913930470284
3,3,0.0
4,3,0.0
5,3,6520.238323509911
6,3,17398.866666
7,3,0.0
8,3,82919.59999999999
9,3,106266.70000000001
10,3,50844.03108001982
1,4,3260.7
2,4,0.0
3,4,0.0
4,4,0.0
5,4,5508.2
6,4,391.8324999999595
7,4,0.0
8,4,0.0
9,4,11218.1
10,4,11136.755000000034
