i,j,l,t,value
1,1,1,1,0.0
2,1,1,1,0.0
3,1,1,1,0.0
4,1,1,1,5035.95
5,1,1,1,0.0
6,1,1,1,0.0
7,1,1,1,0.0
8,1,1,1,0.0
9,1,1,1,0.0
1,2,1,1,0.0
2,2,1,1,4297.723780000004
3,2,1,1,0.0
4,2,1,1,3282.115862859995
5,2,1,1,0.0
6,2,1,1,0.0
7,2,1,1,0.0
8,2,1,1,0.0
9,2,1,1,0.0
1,3,1,1,0.0
2,3,1,1,0.0
3,3,1,1,0.0
4,3,1,1,0.0
5,3,1,1,106.46600649999999
6,3,1,1,0.0
7,3,1,1,0.0
8,3,1,1,0.0
9,3,1,1,0.0
1,4,1,1,0.0
2,4,1,1,0.0
3,4,1,1,0.0
4,4,1,1,0.0
5,4,1,1,357.24873377999995
6,4,1,1,0.0
7,4,1,1,0.0
8,4,1,1,0.0
9,4,1,1,0.0
1,5,1,1,0.0
2,5,1,1,24280.004999999997
3,5,1,1,0.0
4,5,1,1,0.0
5,5,1,1,0.0
6,5,1,1,0.0
7,5,1,1,0.0
8,5,1,1,0.0
9,5,1,1,0.0
1,6,1,1,0.0
2,6,1,1,0.0
3,6,1,1,0.0
4,6,1,1,0.0
5,6,1,1,945.3042857199998
6,6,1,1,0.0
7,6,1,1,0.0
8,6,1,1,0.0
9,6,1,1,0.0
1,7,1,1,0.0
2,7,1,1,0.0
3,7,1,1,0.0
4,7,1,1,0.0
5,7,1,1,0.0
6,7,1,1,0.0
7,7,1,1,0.0
8,7,1,1,0.0
9,7,1,1,0.0
1,8,1,1,0.0
2,8,1,1,0.0
3,8,1,1,0.0
4,8,1,1,0.0
5,8,1,1,158.28850649999998
6,8,1,1,0.0
7,8,1,1,0.0
8,8,1,1,0.0
9,8,1,1,0.0
1,9,1,1,0.0
2,9,1,1,0.0
3,9,1,1,0.0
4,9,1,1,0.0
5,9,1,1,37.333916014848235
6,9,1,1,0.0
7,9,1,1,0.0
8,9,1,1,0.0
9,9,1,1,0.0
1,10,1,1,0.0
2,10,1,1,0.0
3,10,1,1,0.0
4,10,1,1,0.0
5,10,1,1,113.09318183999997
6,10,1,1,0.0
7,10,1,1,0.0
8,10,1,1,0.0
9,10,1,1,0.0
1,11,1,1,0.0
2,11,1,1,0.0
3,11,1,1,0.0
4,11,1,1,0.0
5,11,1,1,211.21546601376494
6,11,1,1,0.0
7,11,1,1,0.0
8,11,1,1,0.0
9,11,1,1,0.0
1,12,1,1,0.0
2,12,1,1,0.0
3,12,1,1,0.0
4,12,1,1,1689.430260831387
5,12,1,1,0.0
6,12,1,1,0.0
7,12,1,1,0.0
8,12,1,1,0.0
9,12,1,1,0.0
1,1,2,1,0.0
2,1,2,1,0.0
3,1,2,1,0.0
4,1,2,1,0.0
5,1,2,1,0.0
6,1,2,1,0.0
7,1,2,1,0.0
8,1,2,1,0.0
9,1,2,1,0.0
1,2,2,1,0.0
2,2,2,1,0.0
3,2,2,1,0.0
4,2,2,1,0.0
5,2,2,1,0.0
6,2,2,1,0.0
7,2,2,1,0.0
8,2,2,1,0.0
9,2,2,1,0.0
1,3,2,1,0.0
2,3,2,1,0.0
3,3,2,1,0.0
4,3,2,1,0.0
5,3,2,1,0.0
6,3,2,1,0.0
7,3,2,1,0.0
8,3,2,1,0.0
9,3,2,1,0.0
1,4,2,1,0.0
2,4,2,1,0.0
3,4,2,1,0.0
4,4,2,1,0.0
5,4,2,1,0.0
6,4,2,1,0.0
7,4,2,1,0.0
8,4,2,1,0.0
9,4,2,1,0.0
1,5,2,1,0.0
2,5,2,1,0.0
3,5,2,1,0.0
4,5,2,1,0.0
5,5,2,1,0.0
6,5,2,1,0.0
7,5,2,1,0.0
8,5,2,1,0.0
9,5,2,1,0.0
1,6,2,1,0.0
2,6,2,1,0.0
3,6,2,1,0.0
4,6,2,1,0.0
5,6,2,1,0.0
6,6,2,1,0.0
7,6,2,1,0.0
8,6,2,1,0.0
9,6,2,1,0.0
1,7,2,1,0.0
2,7,2,1,0.0
3,7,2,1,0.0
4,7,2,1,0.0
5,7,2,1,0.0
6,7,2,1,0.0
7,7,2,1,0.0
8,7,2,1,0.0
9,7,2,1,0.0
1,8,2,1,0.0
2,8,2,1,0.0
3,8,2,1,0.0
4,8,2,1,0.0
5,8,2,1,0.0
6,8,2,1,0.0
7,8,2,1,0.0
8,8,2,1,0.0
9,8,2,1,0.0
1,9,2,1,0.0
2,9,2,1,0.0
3,9,2,1,0.0
4,9,2,1,0.0
5,9,2,1,0.0
6,9,2,1,0.0
7,9,2,1,0.0
8,9,2,1,0.0
9,9,2,1,0.0
1,10,2,1,0.0
2,10,2,1,0.0
3,10,2,1,0.0
4,10,2,1,0.0
5,10,2,1,0.0
6,10,2,1,0.0
7,10,2,1,0.0
8,10,2,1,0.0
9,10,2,1,0.0
1,11,2,1,0.0
2,11,2,1,0.0
3,11,2,1,0.0
4,11,2,1,0.0
5,11,2,1,0.0
6,11,2,1,0.0
7,11,2,1,0.0
8,11,2,1,0.0
9,11,2,1,0.0
1,12,2,1,0.0
2,12,2,1,0.0
3,12,2,1,0.0
4,12,2,1,0.0
5,12,2,1,0.0
6,12,2,1,0.0
7,12,2,1,0.0
8,12,2,1,0.0
9,12,2,1,0.0
1,1,3,1,0.0
2,1,3,1,0.0
3,1,3,1,0.0
4,1,3,1,0.0
5,1,3,1,0.0
6,1,3,1,0.0
7,1,3,1,0.0
8,1,3,1,0.0
9,1,3,1,0.0
1,2,3,1,0.0
2,2,3,1,0.0
3,2,3,1,0.0
4,2,3,1,0.0
5,2,3,1,0.0
6,2,3,1,0.0
7,2,3,1,0.0
8,2,3,1,0.0
9,2,3,1,0.0
1,3,3,1,0.0
2,3,3,1,0.0
3,3,3,1,0.0
4,3,3,1,0.0
5,3,3,1,0.0
6,3,3,1,0.0
7,3,3,1,0.0
8,3,3,1,0.0
9,3,3,1,0.0
1,4,3,1,0.0
2,4,3,1,0.0
3,4,3,1,0.0
4,4,3,1,0.0
5,4,3,1,0.0
6,4,3,1,0.0
7,4,3,1,0.0
8,4,3,1,0.0
9,4,3,1,0.0
1,5,3,1,0.0
2,5,3,1,0.0
3,5,3,1,0.0
4,5,3,1,0.0
5,5,3,1,0.0
6,5,3,1,0.0
7,5,3,1,0.0
8,5,3,1,0.0
9,5,3,1,0.0
1,6,3,1,0.0
2,6,3,1,0.0
3,6,3,1,0.0
4,6,3,1,0.0
5,6,3,1,0.0
6,6,3,1,0.0
7,6,3,1,0.0
8,6,3,1,0.0
9,6,3,1,0.0
1,7,3,1,0.0
2,7,3,1,0.0
3,7,3,1,0.0
4,7,3,1,0.0
5,7,3,1,0.0
6,7,3,1,0.0
7,7,3,1,0.0
8,7,3,1,0.0
9,7,3,1,0.0
1,8,3,1,0.0
2,8,3,1,0.0
3,8,3,1,0.0
4,8,3,1,0.0
5,8,3,1,0.0
6,8,3,1,0.0
7,8,3,1,0.0
8,8,3,1,0.0
9,8,3,1,0.0
1,9,3,1,0.0
2,9,3,1,0.0
3,9,3,1,0.0
4,9,3,1,0.0
5,9,3,1,0.0
6,9,3,1,0.0
7,9,3,1,0.0
8,9,3,1,0.0
9,9,3,1,0.0
1,10,3,1,0.0
2,10,3,1,0.0
3,10,3,1,0.0
4,10,3,1,0.0
5,10,3,1,0.0
6,10,3,1,0.0
7,10,3,1,0.0
8,10,3,1,0.0
9,10,3,1,0.0
1,11,3,1,0.0
2,11,3,1,0.0
3,11,3,1,0.0
4,11,3,1,0.0
5,11,3,1,0.0
6,11,3,1,0.0
7,11,3,1,0.0
8,11,3,1,0.0
9,11,3,1,0.0
1,12,3,1,0.0
2,12,3,1,0.0
3,12,3,1,0.0
4,12,3,1,0.0
5,12,3,1,0.0
6,12,3,1,0.0
7,12,3,1,0.0
8,12,3,1,0.0
9,12,3,1,0.0
1,1,4,1,0.0
2,1,4,1,0.0
3,1,4,1,0.0
4,1,4,1,0.0
5,1,4,1,0.0
6,1,4,1,0.0
7,1,4,1,0.0
8,1,4,1,0.0
9,1,4,1,0.0
1,2,4,1,0.0
2,2,4,1,0.0
3,2,4,1,0.0
4,2,4,1,0.0
5,2,4,1,0.0
6,2,4,1,0.0
7,2,4,1,0.0
8,2,4,1,0.0
9,2,4,1,0.0
1,3,4,1,0.0
2,3,4,1,0.0
3,3,4,1,0.0
4,3,4,1,0.0
5,3,4,1,0.0
6,3,4,1,0.0
7,3,4,1,0.0
8,3,4,1,0.0
9,3,4,1,0.0
1,4,4,1,0.0
2,4,4,1,0.0
3,4,4,1,0.0
4,4,4,1,0.0
5,4,4,1,0.0
6,4,4,1,0.0
7,4,4,1,0.0
8,4,4,1,0.0
9,4,4,1,0.0
1,5,4,1,0.0
2,5,4,1,0.0
3,5,4,1,0.0
4,5,4,1,0.0
5,5,4,1,0.0
6,5,4,1,0.0
7,5,4,1,0.0
8,5,4,1,0.0
9,5,4,1,0.0
1,6,4,1,0.0
2,6,4,1,0.0
3,6,4,1,0.0
4,6,4,1,0.0
5,6,4,1,0.0
6,6,4,1,0.0
7,6,4,1,0.0
8,6,4,1,0.0
9,6,4,1,0.0
1,7,4,1,0.0
